id,Time_spent_Alone,Social_event_attendance,Going_outside,Friends_circle_size,Post_frequency,Stage_fear_No,Stage_fear_Yes,Drained_after_socializing_No,Drained_after_socializing_Yes,Personality
0,-1.0010043650490912,0.12263341702503563,-0.23600252565671395,1.5950762278294164,-0.18482918436534815,1.0,0.0,1.0,0.0,0
1,-0.6208473157559684,0.5076910090336915,-0.7665916108103452,0.36751065194577187,0.9222987165744131,1.0,0.0,1.0,0.0,0
3,0.13946678283027714,0.5076910090336915,-0.7665916108103452,0.6130237671225007,-0.18482918436534815,1.0,0.0,1.0,0.0,0
7,-0.24069026646284564,0.8927486010423473,-0.7665916108103452,-1.1055680391146014,-0.18482918436534815,1.0,0.0,1.0,0.0,0
9,-0.6208473157559684,0.8927486010423473,0.8251756446505486,1.3495631126526875,1.291341350221,1.0,0.0,1.0,0.0,0
10,0.13946678283027714,0.5076910090336915,-0.23600252565671395,-0.8600549239378725,1.6603839838675871,1.0,0.0,1.0,0.0,0
11,-0.24069026646284564,0.12263341702503563,-0.7665916108103452,-1.1055680391146014,0.9222987165744131,1.0,0.0,1.0,0.0,0
12,0.13946678283027714,-0.2624241749836202,-0.23600252565671395,0.12199753676904299,0.18421344928123892,1.0,0.0,1.0,0.0,0
16,-1.0010043650490912,0.12263341702503563,-0.23600252565671395,-0.1235155784076859,1.6603839838675871,1.0,0.0,1.0,0.0,0
18,-0.6208473157559684,-0.647481766992276,-0.23600252565671395,0.6130237671225007,1.291341350221,1.0,0.0,1.0,0.0,0
20,-0.6208473157559684,1.2778061930510032,-0.7665916108103452,0.36751065194577187,0.553256082927826,1.0,0.0,1.0,0.0,0
21,1.2799379307096455,-1.0325393590009317,-1.2971806959639764,-1.8421073846447882,-0.9229144516585223,0.0,1.0,0.0,1.0,1
23,0.13946678283027714,1.2778061930510032,1.35576472980418,-0.6145418087611437,-0.9229144516585223,1.0,0.0,1.0,0.0,0
24,-0.6208473157559684,-0.2624241749836202,-0.7665916108103452,0.8585368822992296,-0.18482918436534815,1.0,0.0,1.0,0.0,0
25,2.4204090785890138,-1.8026545430182435,-0.7665916108103452,-0.3690286935844148,-0.18482918436534815,0.0,1.0,0.0,1.0,1
30,0.13946678283027714,1.2778061930510032,-2.358358866271239,-0.1235155784076859,-0.18482918436534815,1.0,0.0,1.0,0.0,0
32,-0.6208473157559684,1.2778061930510032,0.2945865594969173,-1.1055680391146014,0.9222987165744131,1.0,0.0,1.0,0.0,0
33,-0.24069026646284564,0.5076910090336915,0.2945865594969173,0.6130237671225007,1.291341350221,1.0,0.0,1.0,0.0,0
35,1.2799379307096455,-1.4175969510095876,-0.7665916108103452,-1.8421073846447882,-0.9229144516585223,0.0,1.0,0.0,1.0,1
37,-0.24069026646284564,0.5076910090336915,-0.23600252565671395,-0.8600549239378725,-0.9229144516585223,1.0,0.0,1.0,0.0,0
38,-0.24069026646284564,0.8927486010423473,-0.7665916108103452,1.1040499974759586,0.18421344928123892,1.0,0.0,1.0,0.0,0
39,-1.0010043650490912,-0.2624241749836202,-0.23600252565671395,0.6130237671225007,-0.5538718180119352,1.0,0.0,1.0,0.0,0
40,-1.0010043650490912,0.8927486010423473,-0.7665916108103452,0.36751065194577187,-0.5538718180119352,1.0,0.0,1.0,0.0,0
42,-0.24069026646284564,0.12263341702503563,0.8251756446505486,-0.8600549239378725,0.18421344928123892,1.0,0.0,1.0,0.0,0
44,2.4204090785890138,-1.8026545430182435,-2.358358866271239,-1.3510811542913304,-2.0300423525982834,0.0,1.0,0.0,1.0,1
46,-0.24069026646284564,0.5076910090336915,-0.7665916108103452,0.8585368822992296,0.18421344928123892,1.0,0.0,1.0,0.0,0
47,-1.0010043650490912,-0.647481766992276,1.35576472980418,1.3495631126526875,-0.9229144516585223,1.0,0.0,1.0,0.0,0
49,-0.24069026646284564,1.2778061930510032,1.35576472980418,-0.6145418087611437,-0.5538718180119352,1.0,0.0,1.0,0.0,0
51,-1.0010043650490912,-1.0325393590009317,0.8251756446505486,-0.8600549239378725,0.9222987165744131,1.0,0.0,1.0,0.0,0
52,-1.0010043650490912,0.5076910090336915,0.8251756446505486,-0.3690286935844148,-0.9229144516585223,1.0,0.0,1.0,0.0,0
53,1.2799379307096455,-1.0325393590009317,-0.7665916108103452,-0.8600549239378725,-2.0300423525982834,0.0,1.0,0.0,1.0,1
56,0.13946678283027714,1.2778061930510032,1.35576472980418,0.8585368822992296,-0.9229144516585223,1.0,0.0,1.0,0.0,0
57,0.5196238321233999,0.12263341702503563,-0.7665916108103452,-0.1235155784076859,0.553256082927826,1.0,0.0,1.0,0.0,0
